Date,Uncovered,Du,Ru,Exposed,Isolated,Infected,Di,Ri
24-03-20,39,6,33,546,10,536,14,522
25-03-20,57,10,47,669,12,657,33,624
26-03-20,71,13,58,747,18,729,69,660
27-03-20,83,11,72,907,20,887,109,778
28-03-20,97,15,82,1011,24,987,144,843
29-03-20,108,16,92,1051,27,1024,179,845
30-03-20,117,19,98,1283,32,1251,198,1053
31-03-20,129,20,109,1432,35,1397,219,1178
01-04-20,148,26,122,2056,58,1998,340,1658
02-04-20,191,34,157,2615,72,2543,448,2095
03-04-20,192,28,164,2639,74,2565,562,2003
04-04-20,217,33,184,3180,86,3094,612,2482
05-04-20,229,37,192,3687,99,3588,703,2885
06-04-20,375,69,306,4914,136,4778,877,3901
07-04-20,421,79,342,5461,150,5311,989,4322
08-04-20,506,90,416,6094,178,5916,1049,4867
09-04-20,621,102,519,6951,226,6725,1102,5623
10-04-20,774,130,644,7844,246,7598,1272,6326
11-04-20,969,155,814,8734,288,8446,1347,7099
12-04-20,1083,163,920,9536,331,9205,1382,7823
13-04-20,1181,173,1008,10811,358,10453,1528,8925
14-04-20,1359,204,1155,11880,393,11487,1724,9763
15-04-20,1432,224,1208,12727,405,12322,1925,10397
16-04-20,1768,266,1502,13878,448,13430,2019,11411
17-04-20,2041,306,1735,14838,486,14352,2147,12205
18-04-20,2463,369,2094,16243,521,15722,2355,13367
19-04-20,2854,424,2430,18174,559,17615,2614,15001
20-04-20,3273,467,2806,19131,592,18539,2741,15798
21-04-20,3975,586,3389,20725,645,20080,2959,17121
22-04-20,4370,652,3718,22051,681,21370,3184,18186
23-04-20,5012,750,4262,23798,721,23077,3449,19628
24-04-20,5498,795,4703,25310,780,24530,3543,20987
25-04-20,5939,896,5043,27108,825,26283,3964,22319
26-04-20,6523,957,5566,28771,881,27890,4088,23802
27-04-20,7137,1067,6070,30390,939,29451,4400,25051
28-04-20,7747,1144,6603,32332,1008,31324,4521,26803
29-04-20,8437,1265,7172,34141,1079,33062,4955,28107
30-04-20,9068,1321,7747,36017,1154,34863,5077,29786
01-05-20,10007,1408,8599,38480,1223,37257,5296,31961
02-05-20,10819,1593,9226,41022,1323,39699,5843,33856
03-05-20,11775,1760,10015,43896,1391,42505,6353,36152
04-05-20,12847,1878,10969,48003,1566,46437,6785,39652
05-05-20,14142,2122,12020,51093,1693,49400,7410,41990
06-05-20,15331,2291,13040,54772,1785,52987,7916,45071
07-05-20,16776,2514,14262,58240,1889,56351,8444,47907
08-05-20,17887,2680,15207,61680,1985,59695,8944,50751
09-05-20,19301,2796,16505,64909,2101,62808,9238,54362
